k,x1,x2,x3,x4,u1,u2,signed_dist,cbf_relax,cbf_margin
56,-1.36531e-08,1.11236e-08,2.01759e-08,-6.31869e-09,2.73062e-08,-2.22472e-08,2.05273,0,3
57,3.26141e-09,2.40245e-09,1.36531e-08,-1.11236e-08,-6.52281e-09,-4.8049e-09,2.16751,0,3
58,8.45726e-09,-4.36057e-09,-3.2614e-09,-2.40246e-09,-1.69145e-08,8.72114e-09,2.28485,0,3
59,2.59793e-09,-3.38152e-09,-8.45726e-09,4.36057e-09,-5.19585e-09,6.76303e-09,2.38476,0,3
60,-2.92966e-09,4.89526e-10,-2.59793e-09,3.38152e-09,5.85932e-09,-9.79051e-10,2.45779,0,3
61,-2.7638e-09,1.93552e-09,2.92966e-09,-4.89524e-10,5.52759e-09,-3.87104e-09,2.50876,0,3
62,8.2931e-11,7.23e-10,2.7638e-09,-1.93552e-09,-1.65862e-10,-1.446e-09,2.55167,0,3
63,1.42337e-09,-6.06261e-10,-8.29295e-11,-7.23e-10,-2.84673e-09,1.21252e-09,2.60183,0,3
64,6.70219e-10,-6.64631e-10,-1.42337e-09,6.06261e-10,-1.34044e-09,1.32926e-09,2.67089,0,3
65,-3.76574e-10,-2.91852e-11,-6.70219e-10,6.64631e-10,7.53147e-10,5.83703e-11,2.76393,0,3
66,-5.23397e-10,3.17723e-10,3.76573e-10,2.91855e-11,1.04679e-09,-6.35446e-10,2.87658,0,3
67,-7.34118e-11,1.73454e-10,5.23397e-10,-3.17723e-10,1.46823e-10,-3.46908e-10,2.99508,0,3
68,2.24992e-10,-7.21343e-11,7.3412e-11,-1.73454e-10,-4.49985e-10,1.44268e-10,3.1031,0,3
69,1.49202e-10,-1.22794e-10,-2.24992e-10,7.21342e-11,-2.98404e-10,2.45589e-10,3.191,0,3
70,-3.7895e-11,-2.53301e-11,-1.49202e-10,1.22794e-10,7.579e-11,5.06602e-11,3.26007,0,3
71,-9.35487e-11,4.87322e-11,3.78949e-11,2.53302e-11,1.87097e-10,-9.74642e-11,3.3194,0,3
72,-2.78269e-11,3.70312e-11,9.35487e-11,-4.87321e-11,5.56538e-11,-7.40623e-11,3.38047,0,3
73,3.28609e-11,-5.85047e-12,2.7827e-11,-3.70312e-11,-6.57218e-11,1.17009e-11,3.45364,0,3
74,3.03439e-11,-2.14408e-11,-3.28609e-11,5.85045e-12,-6.06878e-11,4.28817e-11,3.54546,0,3
75,-1.25847e-12,-7.7952e-12,-3.03439e-11,2.14408e-11,2.51693e-12,1.55904e-11,3.65503,0,3
76,-1.58012e-11,6.82282e-12,1.25845e-12,7.79521e-12,3.16024e-11,-1.36456e-11,3.7727,0,3
77,-7.27139e-12,7.30902e-12,1.58012e-11,-6.82281e-12,1.45428e-11,-1.4618e-11,3.88482,0,3
78,4.26491e-12,2.43103e-13,7.27139e-12,-7.30902e-12,-8.52982e-12,-4.86206e-13,3.98177,0,3
79,5.76815e-12,-3.53296e-12,-4.26491e-12,-2.43107e-13,-1.15363e-11,7.06591e-12,4.06232,0,3
80,7.51624e-13,-1.88803e-12,-5.76815e-12,3.53296e-12,-1.50325e-12,3.77606e-12,4.12709,0,3
81,-2.50827e-12,8.22462e-13,-7.51626e-13,1.88804e-12,5.01653e-12,-1.64492e-12,4.16042,0,3
82,-1.62995e-12,1.35525e-12,2.50826e-12,-8.22461e-13,3.25989e-12,-2.7105e-12,4.17804,0,3
83,4.39159e-13,2.66394e-13,1.62995e-12,-1.35525e-12,-8.78317e-13,-5.32788e-13,4.18954,0,3
84,1.03455e-12,-5.44428e-13,-4.39158e-13,-2.66395e-13,-2.06911e-12,1.08885e-12,4.20593,0,3
85,2.97698e-13,-4.05411e-13,-1.03455e-12,5.44427e-13,-5.95396e-13,8.10822e-13,4.2369,0,3
86,-3.68428e-13,6.95079e-14,-2.97698e-13,4.05412e-13,7.36855e-13,-1.39016e-13,4.2886,0,3
87,-3.33063e-13,2.3746e-13,3.68428e-13,-6.95077e-14,6.66126e-13,-4.74919e-13,4.36221,0,3
88,1.76821e-14,8.39761e-14,3.33063e-13,-2.3746e-13,-3.53642e-14,-1.67952e-13,4.45367,0,3
89,1.75373e-13,-7.67419e-14,-1.7682e-14,-8.39762e-14,-3.50745e-13,1.53484e-13,4.55463,0,3
90,7.88455e-14,-8.03591e-14,-1.75373e-13,7.67418e-14,-1.57691e-13,1.60718e-13,4.65444,0,3
