k,disk,cx,cy,r
55,1,-3.1152,-2.66763,0.9
55,2,-3.01444,2.716,0.9
56,0,-7.01775,-0.0183516,1
56,1,-3.11255,-2.78778,0.9
56,2,-3.00829,2.75498,0.9
57,0,-7.01968,-0.0138066,1
57,1,-3.10476,-2.90428,0.9
57,2,-2.99452,2.80573,0.9
58,0,-7.01985,-0.00708188,1
58,1,-3.0899,-2.99995,0.9
58,2,-2.97294,2.88201,0.9
59,0,-7.01825,0.000760918,1
59,1,-3.06717,-3.06743,0.9
59,2,-2.94457,2.98555,0.9
60,0,-7.01502,0.00848358,1
60,1,-3.03699,-3.1126,0.9
60,2,-2.91153,3.1053,0.9
61,0,-7.01045,0.0148669,1
61,1,-3.00097,-3.15184,0.9
61,2,-2.87668,3.22256,0.9
62,0,-7.00494,0.018903,1
62,1,-2.96164,-3.20433,0.9
62,2,-2.84313,3.3198,0.9
63,0,-6.99899,0.0199548,1
63,1,-2.92205,-3.283,0.9
63,2,-2.81383,3.38891,0.9
64,0,-6.99313,0.0178561,1
64,1,-2.88529,-3.38848,0.9
64,2,-2.79103,3.43502,0.9
65,0,-6.98789,0.0129384,1
65,1,-2.85402,-3.50878,0.9
65,2,-2.77596,3.47407,0.9
66,0,-6.98373,0.00597796,1
66,1,-2.83,-3.62495,0.9
66,2,-2.76863,3.52531,0.9
67,0,-6.98102,-0.00192626,1
67,1,-2.81388,-3.71998,0.9
67,2,-2.76784,3.60227,0.9
68,0,-6.98,-0.00952636,1
68,1,-2.80504,-3.7868,0.9
68,2,-2.77133,3.70639,0.9
69,0,-6.98078,-0.0156225,1
69,1,-2.80172,-3.83161,0.9
69,2,-2.77619,3.82631,0.9
70,0,-6.98327,-0.0192521,1
70,1,-2.80128,-3.87096,0.9
70,2,-2.77928,3.94326,0.9
71,0,-6.98725,-0.0198423,1
71,1,-2.80065,-3.92396,0.9
71,2,-2.77775,4.03987,0.9
72,0,-6.99237,-0.0172998,1
72,1,-2.79675,-4.00333,0.9
72,2,-2.76947,4.10832,0.9
73,0,-6.99818,-0.012026,1
73,1,-2.78705,-4.10934,0.9
73,2,-2.75338,4.15405,0.9
74,0,-7.00415,-0.00485365,1
74,1,-2.76992,-4.22978,0.9
74,2,-2.72966,4.19316,0.9
75,0,-7.00974,0.00308503,1
75,1,-2.74492,-4.34562,0.9
75,2,-2.69967,4.2449,0.9
76,0,-7.01447,0.0105367,1
76,1,-2.71282,-4.44,0.9
76,2,-2.66578,4.32256,0.9
77,0,-7.0179,0.0163248,1
77,1,-2.67553,-4.50616,0.9
77,2,-2.63099,4.42723,0.9
78,0,-7.01974,0.0195356,1
78,1,-2.6358,-4.55062,0.9
78,2,-2.5984,4.54731,0.9
79,0,-7.01981,0.0196621,1
79,1,-2.59673,-4.59008,0.9
79,2,-2.57081,4.66396,0.9
80,0,-7.01811,0.0166845,1
80,1,-2.56133,-4.64361,0.9
80,2,-2.55019,4.75993,0.9
81,0,-7.0148,0.0110727,1
81,1,-2.53204,-4.72367,0.9
81,2,-2.53743,4.82772,0.9
82,0,-7.01016,0.00371279,1
82,1,-2.51032,-4.83022,0.9
82,2,-2.53219,4.87306,0.9
83,0,-7.00461,-0.00423328,1
83,1,-2.49644,-4.95077,0.9
83,2,-2.53291,4.91226,0.9
