k,disk,cx,cy,r
50,0,0.611767,-2.99229,0.9
50,1,2.38031,1.47649,0.8
50,2,4.94921,-1.47841,0.7
51,0,0.506104,-3.08574,0.9
51,1,2.41399,1.60286,0.8
51,2,5.01673,-1.55103,0.7
52,0,0.396738,-3.19116,0.9
52,1,2.48813,1.72789,0.8
52,2,5.08504,-1.62586,0.7
53,0,0.35001,-3.31364,0.9
53,1,2.56785,1.8398,0.8
53,2,5.14233,-1.69925,0.7
54,0,0.394263,-3.45232,0.9
54,1,2.61566,1.93299,0.8
54,2,5.17946,-1.76792,0.7
55,0,0.502655,-3.60066,0.9
55,1,2.60907,2.01067,0.8
55,2,5.19224,-1.82976,0.7
56,0,0.609437,-3.74878,0.9
56,1,2.55119,2.08332,0.8
56,2,5.18244,-1.88432,0.7
57,0,0.649835,-3.88684,0.9
57,1,2.46923,2.16382,0.8
57,2,5.15735,-1.93292,0.7
58,0,0.599346,-4.00854,0.9
58,1,2.40175,2.26134,0.8
58,2,5.12801,-1.97835,0.7
59,0,0.488594,-4.11328,0.9
59,1,2.38047,2.37704,0.8
59,2,5.1065,-2.0242,0.7
60,0,0.384762,-4.2064,0.9
60,1,2.41541,2.50354,0.8
60,2,5.10299,-2.0739,0.7
61,0,0.350831,-4.29728,0.9
61,1,2.49014,2.62837,0.8
61,2,5.12323,-2.13,0.7
62,0,0.407384,-4.3961,0.9
62,1,2.5695,2.73986,0.8
62,2,5.16716,-2.19345,0.7
63,0,0.520117,-4.51025,0.9
63,1,2.61618,2.83261,0.8
63,2,5.22893,-2.26339,0.7
64,0,0.620647,-4.64179,0.9
64,1,2.60821,2.91002,0.8
64,2,5.2983,-2.3374,0.7
65,0,0.647994,-4.78667,0.9
65,1,2.54936,2.98271,0.8
65,2,5.3632,-2.41205,0.7
66,0,0.58557,-4.93621,0.9
66,1,2.46729,3.06354,0.8
66,2,5.41262,-2.48375,0.7
67,0,0.47124,-5.08008,0.9
67,1,2.4006,3.16152,0.8
67,2,5.43936,-2.54963,0.7
68,0,0.374356,-5.20996,0.9
68,1,2.38066,3.27759,0.8
68,2,5.44178,-2.60826,0.7
69,0,0.353685,-5.32238,0.9
69,1,2.41685,3.4042,0.8
69,2,5.42417,-2.65997,0.7
70,0,0.421767,-5.42,0.9
70,1,2.49215,3.52884,0.8
70,2,5.39575,-2.70679,0.7
71,0,0.537304,-5.51063,0.9
71,1,2.57113,3.63991,0.8
71,2,5.36837,-2.75195,0.7
72,0,0.630213,-5.60454,0.9
72,1,2.61667,3.73221,0.8
72,2,5.35363,-2.79908,0.7
73,0,0.644136,-5.71083,0.9
73,1,2.60733,3.80936,0.8
73,2,5.36004,-2.85133,0.7
74,0,0.570628,-5.8343,0.9
74,1,2.54751,3.88211,0.8
74,2,5.39092,-2.9106,0.7
75,0,0.454278,-5.97373,0.9
75,1,2.46535,3.96327,0.8
75,2,5.44361,-2.97707,0.7
76,0,0.365663,-6.12234,0.9
76,1,2.39948,4.0617,0.8
76,2,5.51011,-3.04915,0.7
77,0,0.358534,-6.27014,0.9
77,1,2.38089,4.17815,0.8
77,2,5.57902,-3.12389,0.7
78,0,0.437217,-6.4074,0.9
78,1,2.41832,4.30487,0.8
78,2,5.63839,-3.19768,0.7
79,0,0.553983,-6.52811,0.9
79,1,2.49416,4.4293,0.8
79,2,5.67856,-3.26713,0.7
80,0,0.638004,-6.63201,0.9
80,1,2.57275,4.53995,0.8
80,2,5.6946,-3.32995,0.7
81,0,0.638313,-6.72473,0.9
81,1,2.61712,4.63181,0.8
81,2,5.68748,-3.38543,0.7
82,0,0.554724,-6.8158,0.9
82,1,2.60641,4.70871,0.8
82,2,5.66384,-3.43468,0.7
83,0,0.43794,-6.91532,0.9
83,1,2.54565,4.78151,0.8
83,2,5.63436,-3.48035,0.7
84,0,0.3588,-7.03045,0.9
84,1,2.46342,4.86301,0.8
84,2,5.61116,-3.52592,0.7
85,0,0.365311,-7.16289,0.9
85,1,2.3984,4.9619,0.8
85,2,5.60481,-3.57494,0.7
86,0,0.453522,-7.3083,0.9
86,1,2.38116,5.07872,0.8
86,2,5.62177,-3.6301,0.7
87,0,0.569926,-7.45779,0.9
87,1,2.41981,5.20554,0.8
87,2,5.66278,-3.69258,0.7
88,0,0.643914,-7.60107,0.9
88,1,2.49618,5.32976,0.8
88,2,5.72269,-3.76177,0.7
89,0,0.630606,-7.73,0.9
89,1,2.57434,5.43998,0.8
89,2,5.79174,-3.83543,0.7
90,0,0.538074,-7.84147,0.9
90,1,2.61754,5.5314,0.8
90,2,5.85792,-3.9102,0.7
