k,x1,x2,x3,x4,u1,u2,signed_dist,plan_age,solver_iter
0,-8,0,0,0,0,0,8.13064,0,0
1,-7.86033,1.17648,0.279345,2.35296,0.279345,2.35296,7.74582,1,13
2,-6.99924,2.5319,1.44283,0.357885,1.16349,-1.99507,6.75314,2,13
3,-5.96364,3.13661,0.628361,0.851539,-0.814473,0.493654,5.68458,3,13
4,-4.84224,3.92155,1.61444,0.71833,0.986078,-0.133209,4.62405,4,12
5,-3.85778,3.78332,0.354487,-0.994779,-1.25995,-1.71311,3.57959,5,12
6,-3.38342,2.79299,0.594221,-0.985893,0.239734,0.00888614,2.87544,6,12
7,-4.28917,2.39285,-2.40572,0.185615,-2.99994,1.17151,3.80153,1,11
8,-5.53525,2.72277,-0.0864305,0.474225,2.31929,0.28861,5.19063,2,13
9,-5.36571,3.54371,0.425502,1.16766,0.511933,0.693437,5.29288,3,12
10,-4.48727,4.51579,1.33138,0.77649,0.905881,-0.391172,4.88724,4,12
11,-3.17515,4.67763,1.29285,-0.452798,-0.038532,-1.22929,3.88148,5,12
12,-1.95142,3.6637,1.15462,-1.57507,-0.138229,-1.12227,2.29068,6,12
13,-2.29678,3.1828,-1.84535,0.613276,-2.99998,2.18834,2.28917,1,12
14,-3.11353,4.66092,0.211858,2.34295,2.05721,1.72967,3.93255,2,12
15,-2.86171,5.72041,0.29179,-0.223951,0.0799312,-2.5669,4.72268,3,13
16,-2.63177,5.10674,0.168091,-1.0034,-0.123699,-0.779448,4.26142,4,13
17,-2.21185,4.11179,0.67175,-0.986496,0.503659,0.0169031,3.36965,5,12
18,-1.24878,3.16321,1.25438,-0.910669,0.582627,0.0758266,2.10473,6,10
19,-1.4944,2.69867,-1.74562,-0.0184192,-3,0.89225,1.94809,1,12
20,-3.68998,3.07273,-2.64552,0.766546,-0.899898,0.784965,3.9066,2,12
21,-5.17421,3.49431,-0.322941,0.0766113,2.32258,-0.689935,5.38417,3,13
22,-5.32839,3.41691,0.0145711,-0.231411,0.337512,-0.308022,5.53671,4,12
