k,x1,x2,x3,x4,u1,u2,signed_dist,seg_signed_dist,iter
50,-1.58616e-14,8.88871e-220,-3.57121e-16,-6.8343e-219,2.57405e-14,1.23222e-218,2.86336,2.86336,2
51,-1.27549e-14,-2.90301e-219,6.57048e-15,-7.49459e-220,6.9276e-15,6.08484e-219,2.93453,2.93453,2
52,-6.63719e-15,-2.6955e-219,5.66501e-15,1.16448e-219,-9.05461e-16,1.91394e-219,3.01064,3.01064,2
53,-2.26829e-15,-1.52089e-219,3.07279e-15,1.18472e-219,-2.59223e-15,2.02393e-221,3.07758,3.07758,2
54,-1.75211e-16,-5.79625e-220,1.11337e-15,6.97813e-220,-1.95942e-15,-4.8691e-220,3.12648,3.12648,2
55,4.48836e-16,-9.0897e-221,1.34727e-16,2.79642e-220,-9.78641e-16,-4.18171e-220,3.15752,3.15752,2
56,4.26703e-16,7.55848e-221,-1.78993e-16,5.33213e-221,-3.1372e-16,-2.26321e-220,3.17919,3.17919,2
57,2.43583e-16,8.8026e-221,-1.87247e-16,-2.84389e-221,-8.25388e-18,-8.17601e-221,3.20357,3.20357,2
58,9.4149e-17,5.47287e-221,-1.11622e-16,-3.81558e-221,7.56254e-17,-9.71691e-222,3.24057,3.24057,2
59,1.56749e-17,2.32201e-221,-4.53267e-17,-2.48616e-221,6.62949e-17,1.32942e-221,3.29333,3.29333,2
60,-1.15054e-17,5.274e-222,-9.03395e-18,-1.10306e-221,3.62927e-17,1.3831e-221,3.35675,3.35675,2
61,-1.38834e-17,-1.64371e-222,4.27789e-18,-2.80484e-222,1.33118e-17,8.22572e-222,3.41974,3.41974,2
62,-8.74131e-18,-2.78266e-222,6.00637e-18,5.26931e-223,1.72849e-18,3.33177e-222,3.46337,3.46337,2
63,-3.75511e-18,-1.92646e-222,3.96601e-18,1.18548e-222,-2.04036e-18,6.58547e-223,3.49505,3.49505,2
64,-8.81698e-19,-9.00538e-223,1.78081e-18,8.66363e-223,-2.1852e-18,-3.19114e-223,3.52597,3.52597,2
65,2.41402e-19,-2.56179e-223,4.6539e-19,4.22354e-223,-1.31542e-18,-4.44009e-223,3.54692,3.54692,2
66,4.3689e-19,1.99638e-224,-7.44139e-20,1.29932e-223,-5.39804e-19,-2.92421e-223,3.58254,3.58254,2
67,3.06852e-19,8.43962e-224,-1.85663e-19,-1.06755e-225,-1.11249e-19,-1.31e-223,3.64283,3.64283,2
68,1.4511e-19,6.62998e-224,-1.37821e-19,-3.51251e-224,4.78416e-20,-3.40576e-224,3.72791,3.72791,2
69,4.22209e-20,3.39869e-224,-6.79578e-20,-2.95007e-224,6.98632e-20,5.62447e-225,3.82735,3.82735,2
70,-2.41921e-21,1.13555e-224,-2.13223e-20,-1.57621e-224,4.66355e-20,1.37385e-224,3.87823,3.87823,2
71,-1.31708e-20,6.77048e-226,-1.8085e-22,-5.59484e-225,2.11415e-20,1.01673e-224,3.9209,3.9209,2
72,-1.05301e-20,-2.41663e-225,5.46228e-21,-5.92507e-226,5.64313e-21,5.00234e-225,3.98349,3.98349,2
73,-5.45947e-21,-2.22732e-225,4.67897e-21,9.71127e-226,-7.83304e-22,1.56363e-225,4.06532,4.06532,2
74,-1.85568e-21,-1.25203e-225,2.52861e-21,9.79444e-226,-2.15036e-21,8.3171e-228,4.10336,4.10336,2
75,-1.35539e-22,-4.74966e-226,9.11663e-22,5.74685e-226,-1.61695e-21,-4.04759e-226,4.13065,4.13065,2
76,3.73804e-22,-7.29688e-227,1.07024e-22,2.29309e-226,-8.04638e-22,-3.45376e-226,4.17847,4.17847,2
77,3.52637e-22,6.32221e-227,-1.49359e-22,4.30726e-227,-2.56383e-22,-1.86237e-226,4.24999,4.24999,2
78,2.00545e-22,7.28222e-227,-1.54825e-22,-2.38723e-227,-5.46589e-24,-6.69449e-227,4.33734,4.33734,2
79,7.71646e-23,4.50937e-227,-9.19362e-23,-3.15847e-227,6.28886e-23,-7.71241e-228,4.37369,4.37369,2
80,1.2609e-23,1.90549e-227,-3.71748e-23,-2.04928e-227,5.47614e-23,1.10919e-227,4.40316,4.40316,2
81,-9.63173e-24,4.28003e-228,-7.30669e-24,-9.05699e-228,2.98681e-23,1.14358e-227,4.4595,4.4595,2
82,-1.14873e-23,-1.38951e-228,3.59547e-24,-2.28208e-228,1.09022e-23,6.77491e-228,4.54359,4.54359,2
83,-7.20317e-24,-2.30535e-228,4.97286e-24,4.50392e-229,1.37739e-24,2.73247e-228,4.62684,4.62684,2
84,-3.08202e-24,-1.58871e-228,3.26945e-24,9.82904e-229,-1.70341e-24,5.32512e-229,4.67525,4.67525,2
85,-7.16091e-25,-7.39874e-229,1.4624e-24,7.14763e-229,-1.80705e-24,-2.6814e-229,4.74722,4.74722,2
86,2.04546e-25,-2.08908e-229,3.78871e-25,3.47167e-229,-1.08353e-24,-3.67596e-229,4.84227,4.84227,2
87,3.62025e-25,1.773e-230,-6.39128e-26,1.0611e-229,-4.42784e-25,-2.41057e-229,4.92651,4.92651,2
88,2.53082e-25,7.00526e-230,-1.53973e-25,-1.46453e-231,-9.00599e-26,-1.07574e-229,4.96006,4.96006,2
89,1.19237e-25,5.47265e-230,-1.13718e-25,-2.91876e-230,4.02553e-26,-2.77231e-230,5.00417,5.00417,2
90,3.44449e-26,2.79518e-230,-5.58671e-26,-2.43618e-230,5.78504e-26,4.82579e-231,5.06961,5.06961,2
