replan_step,i,x1,x2,x3,x4
10,20,-0.0130646,-10.3922,-0.00502794,-0.531071
10,21,-0.0157862,-10.9289,-0.000415257,-0.542326
10,22,-0.0141654,-11.4702,0.00365678,-0.540268
10,23,-0.00998301,-12.0086,0.00470805,-0.536516
10,24,-0.00609456,-12.5447,0.00306885,-0.535779
10,25,-0.00339762,-13.0802,0.00232504,-0.535186
10,26,-0.00141879,-13.6155,0.00163262,-0.535324
10,27,-8.41322e-05,-14.1507,0.0010367,-0.535068
10,28,0.000622223,-14.6853,0.00037601,-0.534259
10,29,0.000821957,-15.2194,2.34575e-05,-0.533895
10,30,0.000754033,-15.7533,-0.000159306,-0.533868
10,31,0.000575861,-16.2872,-0.000197038,-0.533909
10,32,0.000385335,-16.8211,-0.000184013,-0.533909
10,33,0.000245903,-17.355,-9.48511e-05,-0.53395
10,34,0.000188108,-17.889,-2.07391e-05,-0.533965
10,35,0.000168118,-18.4229,-1.92412e-05,-0.533961
10,36,0.000137922,-18.9569,-4.1151e-05,-0.533964
10,37,9.24036e-05,-19.4909,-4.98852e-05,-0.53398
10,38,4.52891e-05,-20.0249,-4.43436e-05,-0.533981
10,39,1.27771e-05,-20.5588,-2.06803e-05,-0.53399
10,40,-2.56863e-06,-21.0928,-1.00112e-05,-0.533997
10,41,-1.05338e-05,-21.6268,-5.91913e-06,-0.533995
10,42,-1.32666e-05,-22.1608,4.53505e-07,-0.533995
10,43,-9.45801e-06,-22.6948,7.16367e-06,-0.534
10,44,-3.32601e-06,-23.2288,5.10034e-06,-0.534002
15,0,-7.1031,4.90727,0.800478,-1.85604
15,1,-7.80262,4.55123,-2.19952,1.14396
15,2,-9.55936,6.05657,-1.31396,1.86671
15,3,-10.6948,7.50219,-0.956834,1.02454
15,4,-11.1497,7.80094,0.0469783,-0.427046
15,5,-11.0916,6.9091,0.0691788,-1.35663
15,6,-10.7066,5.31228,0.700926,-1.83702
15,7,-9.58237,3.14291,1.54745,-2.50172
15,8,-8.14248,0.830213,1.33233,-2.12367
15,9,-7.02451,-1.06613,0.903614,-1.66901
15,10,-6.36586,-2.50729,0.413672,-1.21332
15,11,-6.16269,-3.50941,-0.00733465,-0.790915
15,12,-6.35669,-4.11351,-0.380657,-0.417293
15,13,-6.85157,-4.44091,-0.609109,-0.237516
15,14,-7.50737,-4.65471,-0.702484,-0.190083
15,15,-8.21764,-4.84355,-0.718054,-0.18758
15,16,-8.92494,-5.04162,-0.696551,-0.208577
15,17,-9.60834,-5.26229,-0.670244,-0.232763
15,18,-10.2666,-5.5055,-0.64623,-0.253655
15,19,-10.9012,-5.76639,-0.622969,-0.268115
15,20,-11.5073,-6.04654,-0.589237,-0.2922
15,21,-12.0956,-6.34912,-0.587403,-0.312962
15,22,-12.6836,-6.66654,-0.588691,-0.321866
15,23,-13.2698,-6.9872,-0.583697,-0.319466
15,24,-13.8539,-7.30387,-0.58444,-0.31387
15,25,-14.4386,-7.61779,-0.584956,-0.313959
15,26,-15.0247,-7.93134,-0.587141,-0.31314
15,27,-15.6125,-8.24404,-0.588612,-0.312267
15,28,-16.2014,-8.55595,-0.589212,-0.311559
15,29,-16.7907,-8.86726,-0.589342,-0.31105
15,30,-17.3801,-9.17813,-0.589367,-0.310697
15,31,-17.9695,-9.48883,-0.589441,-0.310703
15,32,-18.5589,-9.79957,-0.589463,-0.31078
15,33,-19.1484,-10.1104,-0.589415,-0.310852
15,34,-19.7377,-10.4213,-0.589319,-0.31091
15,35,-20.327,-10.7322,-0.589219,-0.310982
15,36,-20.9162,-11.0432,-0.589165,-0.311056
15,37,-21.5054,-11.3543,-0.589166,-0.311048
15,38,-22.0945,-11.6653,-0.589183,-0.311055
15,39,-22.6837,-11.9764,-0.58918,-0.311067
15,40,-23.2729,-12.2875,-0.589173,-0.311072
15,41,-23.8621,-12.5985,-0.589168,-0.311082
15,42,-24.4512,-12.9096,-0.589191,-0.311081
15,43,-25.0404,-13.2207,-0.589189,-0.311081
15,44,-25.6296,-13.5318,-0.589187,-0.31108
20,0,-11.0917,6.90913,0.0691969,-1.35663
20,1,-12.5225,7.0525,-2.9308,1.64337
20,2,-15.7749,8.49757,-3.57417,1.24679
20,3,-17.8491,9.32961,-0.574168,0.417285
20,4,-16.9233,9.89922,2.42583,0.721938
20,5,-14.2389,9.4796,2.94287,-1.56118
20,6,-11.5583,7.04585,2.41834,-3.30631
20,7,-8.99949,3.70511,2.69932,-3.37518
20,8,-6.54268,0.654388,2.21431,-2.72627
20,9,-4.69513,-1.63547,1.48079,-1.85344
20,10,-3.5216,-3.17079,0.866272,-1.2172
20,11,-2.99166,-4.06433,0.193603,-0.569894
20,12,-3.03779,-4.43043,-0.285865,-0.1623
20,13,-3.44804,-4.51433,-0.53464,-0.00551031
20,14,-4.02177,-4.51868,-0.612819,-0.00318504
20,15,-4.62245,-4.55594,-0.588527,-0.0713212
20,16,-5.17587,-4.66934,-0.518325,-0.155488
20,17,-5.65845,-4.8578,-0.446832,-0.221422
20,18,-6.08046,-5.09754,-0.397188,-0.258063
20,19,-6.46191,-5.36579,-0.365702,-0.278449
20,20,-6.81631,-5.65216,-0.343097,-0.294277
20,21,-7.15561,-5.9461,-0.335515,-0.293601
20,22,-7.4893,-6.23901,-0.331861,-0.292233
20,23,-7.8182,-6.53396,-0.325933,-0.297655
20,24,-8.14649,-6.83293,-0.330653,-0.300283
20,25,-8.48177,-7.1308,-0.339901,-0.295457
20,26,-8.8207,-7.42568,-0.337974,-0.294305
20,27,-9.15854,-7.72042,-0.337691,-0.295182
20,28,-9.49625,-8.01506,-0.337732,-0.294105
20,29,-9.83375,-8.30901,-0.337277,-0.293777
20,30,-10.1713,-8.60229,-0.337834,-0.292793
20,31,-10.5095,-8.8946,-0.338459,-0.291823
20,32,-10.848,-9.18621,-0.338667,-0.291396
20,33,-11.1867,-9.47752,-0.338756,-0.291218
20,34,-11.5255,-9.76877,-0.338801,-0.291285
20,35,-11.8643,-10.0602,-0.338774,-0.291502
20,36,-12.2031,-10.3517,-0.338775,-0.29156
20,37,-12.5418,-10.6432,-0.338628,-0.291522
20,38,-12.8804,-10.9348,-0.338573,-0.291525
20,39,-13.219,-11.2263,-0.338613,-0.291532
20,40,-13.5576,-11.5178,-0.338637,-0.291557
20,41,-13.8962,-11.8094,-0.338643,-0.291565
20,42,-14.2349,-12.101,-0.338637,-0.291597
20,43,-14.5735,-12.3926,-0.338626,-0.291607
20,44,-14.9121,-12.6842,-0.338621,-0.291605
25,0,-14.239,9.47961,2.94288,-1.56118
25,1,-12.7961,9.10558,-0.0571167,0.81312
25,2,-14.3532,10.9208,-3.05712,2.81726
25,3,-15.9103,12.7945,-0.0571167,0.930179
25,4,-14.8956,13.0438,2.08663,-0.431552
25,5,-12.4526,11.9224,2.79927,-1.8113
25,6,-9.6402,9.53225,2.82556,-2.96897
25,7,-6.54156,6.43148,3.37171,-3.23257
25,8,-3.41474,3.54869,2.88194,-2.53301
25,9,-0.834368,1.39371,2.2788,-1.77694
25,10,1.08624,-0.0127213,1.56241,-1.03592
25,11,2.33034,-0.74589,0.925808,-0.430413
25,12,3.02486,-0.979742,0.463229,-0.037292
25,13,3.3371,-0.901409,0.161243,0.193959
25,14,3.43747,-0.677555,0.039506,0.253749
25,15,3.47424,-0.439569,0.0340394,0.222222
25,16,3.53719,-0.249238,0.0918625,0.158439
25,17,3.65541,-0.110494,0.144562,0.119049
25,18,3.80729,-0.00111896,0.159202,0.0997011
25,19,3.99086,0.0690659,0.207932,0.0406687
25,20,4.23494,0.0785803,0.280231,-0.02164
25,21,4.51387,0.054655,0.277636,-0.0262106
25,22,4.79016,0.0334813,0.274947,-0.0161368
25,23,5.06608,0.020973,0.276888,-0.00887983
25,24,5.34409,0.0131043,0.27914,-0.00685743
25,25,5.62208,0.00655094,0.276838,-0.00624936
25,26,5.89794,0.00187689,0.274879,-0.00309875
25,27,6.17244,-0.000271306,0.274113,-0.00119764
25,28,6.44636,-0.000939894,0.273725,-0.000139534
25,29,6.71949,-0.000941579,0.272546,0.000136164
25,30,6.99169,-0.000854443,0.271846,3.81085e-05
25,31,7.2634,-0.000839942,0.271585,-9.10609e-06
25,32,7.53496,-0.000771974,0.271523,0.000145042
25,33,7.80652,-0.000611967,0.271593,0.000174971
25,34,8.07811,-0.000400144,0.271587,0.000248676
25,35,8.34973,-0.000178147,0.271657,0.000195317
25,36,8.62142,-1.93989e-05,0.271726,0.000122179
25,37,8.89317,3.65522e-05,0.271764,-1.02768e-05
25,38,9.16495,5.709e-06,0.27181,-5.14095e-05
25,39,9.43677,-1.61545e-05,0.271833,7.68258e-06
25,40,9.70861,-2.36947e-07,0.271849,2.41525e-05
25,41,9.98046,1.68689e-05,0.271839,1.00593e-05
25,42,10.2523,2.54691e-05,0.271873,7.14107e-06
25,43,10.5242,2.41268e-05,0.271883,-9.82575e-06
25,44,10.7961,1.17739e-05,0.271881,-1.488e-05
30,0,-12.4526,11.9224,2.79928,-1.8113
30,1,-10.3459,11.6111,1.41412,1.1887
30,2,-10.4318,13.9653,-1.58588,3.51966
30,3,-11.6436,15.9849,-0.837736,0.51966
30,4,-11.9403,15.2416,0.244439,-2.00636
30,5,-11.0866,12.6362,1.463,-3.20445
30,6,-8.81946,9.65717,3.07119,-2.7536
30,7,-5.65471,6.668,3.25832,-3.22472
30,8,-2.76487,3.69412,2.52136,-2.72305
30,9,-0.633834,1.2869,1.74071,-2.09138
30,10,0.785574,-0.473373,1.0981,-1.42916
30,11,1.60342,-1.60024,0.537588,-0.824571
30,12,1.95399,-2.1795,0.163554,-0.333949
30,13,2.04063,-2.37307,0.00972804,-0.0531851
30,14,2.02119,-2.36573,-0.0486095,0.0678677
30,15,1.97408,-2.29687,-0.0456016,0.0698502
30,16,1.93104,-2.2464,-0.0404955,0.0310909
30,17,1.90051,-2.22617,-0.0205525,0.00935571
30,18,1.90251,-2.2335,0.0245511,-0.0240128
30,19,1.94928,-2.27581,0.0689883,-0.0606082
30,20,2.03046,-2.34958,0.0933786,-0.086929
30,21,2.13378,-2.44787,0.113247,-0.109647
30,22,2.25247,-2.56731,0.124148,-0.129227
30,23,2.37688,-2.70181,0.124665,-0.139776
30,24,2.50103,-2.83954,0.12363,-0.135683
30,25,2.6224,-2.97444,0.119119,-0.134116
30,26,2.73926,-3.1092,0.114588,-0.135419
30,27,2.85241,-3.24415,0.111715,-0.13448
30,28,2.96356,-3.37737,0.110585,-0.131964
30,29,3.07441,-3.50824,0.111113,-0.129766
30,30,3.18595,-3.63765,0.111978,-0.129046
30,31,3.29821,-3.76662,0.112531,-0.128899
30,32,3.41071,-3.89542,0.112474,-0.128705
30,33,3.523,-4.02399,0.112097,-0.128442
30,34,3.63489,-4.15235,0.111699,-0.128278
30,35,3.74646,-4.28065,0.111441,-0.128308
30,36,3.8579,-4.40893,0.111437,-0.128267
30,37,3.96952,-4.53713,0.111798,-0.128128
30,38,4.08139,-4.66525,0.111936,-0.128115
30,39,4.19329,-4.79341,0.111883,-0.128188
30,40,4.30515,-4.92163,0.111834,-0.128252
30,41,4.41698,-5.0499,0.111813,-0.128297
30,42,4.52879,-5.17822,0.111813,-0.12834
30,43,4.64061,-5.30656,0.111821,-0.128353
30,44,4.75243,-5.43492,0.111829,-0.128353
35,0,-11.0866,12.6362,1.46301,-3.20445
35,1,-10.0914,10.9318,0.527423,-0.204454
35,2,-11.0639,12.2273,-2.47258,2.79555
35,3,-12.7786,14.3855,-0.95675,1.5209
35,4,-12.7149,15.2356,1.08423,0.179257
35,5,-11.361,14.6249,1.62345,-1.40067
35,6,-9.30698,13.1405,2.48466,-1.56819
35,7,-6.74361,11.3366,2.64208,-2.03961
35,8,-4.30162,9.43718,2.2419,-1.75919
35,9,-2.29442,7.86911,1.77249,-1.37696
35,10,-0.772958,6.73337,1.27044,-0.894528
35,11,0.212489,6.13865,0.700451,-0.294903
35,12,0.661775,6.10969,0.198122,0.236974
35,13,0.708469,6.52101,-0.104735,0.585681
35,14,0.532804,7.20504,-0.246596,0.782365
35,15,0.269049,8.02598,-0.280913,0.85953
35,16,0.00258765,8.8838,-0.252011,0.856101
35,17,-0.221492,9.71695,-0.196149,0.810202
35,18,-0.386447,10.4959,-0.13376,0.747609
35,19,-0.491809,11.2137,-0.0769644,0.688153
35,20,-0.549626,11.8827,-0.0386715,0.649806
35,21,-0.584493,12.5143,-0.0310616,0.613311
35,22,-0.611285,13.1221,-0.0225234,0.602281
35,23,-0.631893,13.7254,-0.0186915,0.604366
35,24,-0.651113,14.3319,-0.019748,0.608703
35,25,-0.672587,14.9432,-0.0232005,0.613916
35,26,-0.695366,15.557,-0.0223577,0.613586
